,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other
619,"Wilcox County, Georgia",8896.0,5620.0,3227.0,52.0,0.0,0.0,75.0
620,"Baldwin County, Georgia",45527.0,25284.0,19363.0,276.0,846.0,119.0,459.0
621,"Banks County, Georgia",18363.0,17384.0,562.0,183.0,239.0,0.0,289.0
622,"Bulloch County, Georgia",73742.0,50016.0,22345.0,522.0,1420.0,117.0,1385.0
623,"Clarke County, Georgia",123554.0,80784.0,35137.0,686.0,6366.0,201.0,3431.0
624,"Hawaii County, Hawaii",196325.0,108871.0,3331.0,6676.0,84671.0,66497.0,4604.0
625,"Honolulu County, Hawaii",990060.0,378375.0,40170.0,21572.0,604770.0,242496.0,24431.0
626,"Maui County, Hawaii",164094.0,88020.0,3120.0,4241.0,76703.0,43784.0,3110.0
627,"Kauai County, Hawaii",71093.0,34694.0,1269.0,1485.0,36562.0,16858.0,1034.0
628,"Kalawao County, Hawaii",86.0,21.0,0.0,1.0,38.0,38.0,2.0
629,"Oneida County, Idaho",4284.0,4258.0,9.0,54.0,0.0,28.0,27.0
630,"Cassia County, Idaho",23472.0,22394.0,27.0,393.0,202.0,37.0,710.0
631,"Gem County, Idaho",16850.0,15955.0,122.0,405.0,210.0,4.0,613.0
632,"Lincoln County, Idaho",5296.0,5109.0,22.0,49.0,42.0,47.0,182.0
633,"Valley County, Idaho",10104.0,10059.0,20.0,64.0,23.0,3.0,0.0
634,"Adams County, Idaho",3946.0,3855.0,23.0,110.0,5.0,8.0,21.0
635,"Franklin County, Idaho",13120.0,12811.0,104.0,76.0,50.0,32.0,191.0
636,"Nez Perce County, Idaho",40014.0,36987.0,391.0,2922.0,624.0,77.0,167.0
637,"Jerome County, Idaho",23039.0,22326.0,145.0,324.0,155.0,68.0,433.0
638,"Kootenai County, Idaho",150128.0,145219.0,1190.0,3994.0,2470.0,722.0,932.0
639,"Lewis County, Idaho",3824.0,3463.0,6.0,385.0,40.0,4.0,52.0
640,"Minidoka County, Idaho",20448.0,19609.0,96.0,324.0,128.0,30.0,584.0
641,"Twin Falls County, Idaho",82248.0,77351.0,674.0,1524.0,1758.0,247.0,1958.0
642,"Owyhee County, Idaho",11384.0,9981.0,29.0,605.0,67.0,16.0,989.0
643,"Blaine County, Idaho",21583.0,20484.0,124.0,151.0,325.0,102.0,712.0
644,"Boise County, Idaho",6968.0,6749.0,50.0,197.0,93.0,5.0,39.0
645,"Boundary County, Idaho",11323.0,10941.0,131.0,402.0,90.0,73.0,95.0
646,"Butte County, Idaho",2613.0,2529.0,65.0,10.0,0.0,0.0,18.0
647,"Caribou County, Idaho",6862.0,6711.0,0.0,63.0,5.0,43.0,138.0
648,"Gooding County, Idaho",15110.0,13937.0,19.0,319.0,107.0,48.0,1061.0
649,"Ada County, Idaho",435117.0,408040.0,8034.0,6469.0,16789.0,1831.0,7838.0
650,"Bannock County, Idaho",84113.0,78149.0,1188.0,3716.0,1801.0,397.0,1822.0
651,"Bear Lake County, Idaho",5942.0,5711.0,60.0,29.0,51.0,0.0,155.0
652,"Bingham County, Idaho",45369.0,38828.0,193.0,3692.0,632.0,296.0,3405.0
653,"Bonneville County, Idaho",110404.0,101372.0,1020.0,1590.0,1690.0,261.0,7557.0
654,"Camas County, Idaho",886.0,853.0,0.0,3.0,0.0,0.0,33.0
655,"Canyon County, Idaho",207027.0,186586.0,2155.0,4410.0,3516.0,1056.0,16244.0
656,"Clearwater County, Idaho",8533.0,8139.0,29.0,311.0,91.0,37.0,104.0
657,"Jefferson County, Idaho",27410.0,25704.0,116.0,267.0,223.0,144.0,1794.0
658,"Latah County, Idaho",38697.0,36741.0,518.0,722.0,1319.0,112.0,310.0
659,"Custer County, Idaho",4141.0,4052.0,1.0,162.0,1.0,0.0,38.0
660,"Lemhi County, Idaho",7755.0,7624.0,27.0,191.0,43.0,38.0,53.0
661,"Payette County, Idaho",22839.0,21497.0,148.0,535.0,430.0,14.0,1034.0
662,"Benewah County, Idaho",9050.0,8081.0,74.0,1001.0,98.0,20.0,17.0
663,"Bonner County, Idaho",41855.0,40831.0,258.0,907.0,554.0,119.0,328.0
664,"Clark County, Idaho",1055.0,935.0,2.0,68.0,0.0,0.0,72.0
665,"Elmore County, Idaho",26232.0,23461.0,1023.0,641.0,1190.0,172.0,595.0
666,"Fremont County, Idaho",12889.0,12390.0,159.0,195.0,56.0,41.0,466.0
667,"Madison County, Idaho",38241.0,36566.0,347.0,254.0,758.0,257.0,928.0
668,"Shoshone County, Idaho",12490.0,12041.0,54.0,488.0,111.0,39.0,80.0
669,"Idaho County, Idaho",16275.0,15512.0,65.0,841.0,58.0,15.0,151.0
670,"Teton County, Idaho",10776.0,9821.0,69.0,88.0,129.0,35.0,948.0
671,"Power County, Idaho",7667.0,6211.0,47.0,322.0,0.0,12.0,1129.0
672,"Washington County, Idaho",9996.0,9094.0,6.0,270.0,125.0,0.0,800.0
673,"Hancock County, Illinois",18264.0,18033.0,199.0,131.0,113.0,0.0,55.0
674,"Madison County, Illinois",266153.0,238410.0,25433.0,1823.0,3903.0,336.0,1858.0
675,"Grundy County, Illinois",50333.0,48048.0,1001.0,207.0,570.0,21.0,1215.0
676,"Kankakee County, Illinois",110801.0,90380.0,18142.0,644.0,1501.0,116.0,2226.0
677,"Mercer County, Illinois",15794.0,15525.0,195.0,61.0,102.0,2.0,110.0
678,"DuPage County, Illinois",931826.0,750012.0,51847.0,6850.0,116276.0,1075.0,31551.0
679,"Sangamon County, Illinois",198134.0,167126.0,27994.0,1601.0,4826.0,125.0,1527.0
680,"Alexander County, Illinois",6776.0,4314.0,2482.0,51.0,11.0,0.0,66.0
681,"Menard County, Illinois",12416.0,12226.0,150.0,80.0,59.0,47.0,23.0
682,"Randolph County, Illinois",32829.0,29065.0,3601.0,176.0,177.0,48.0,252.0
683,"Morgan County, Illinois",34442.0,31881.0,2612.0,179.0,296.0,20.0,118.0
684,"Cook County, Illinois",5238541.0,3072581.0,1291839.0,38651.0,414671.0,5810.0,555781.0
685,"Ogle County, Illinois",51619.0,49538.0,932.0,303.0,372.0,11.0,1288.0
686,"Macon County, Illinois",107587.0,89757.0,18125.0,3823.0,1664.0,62.0,678.0
687,"Stephenson County, Illinois",45839.0,40683.0,5342.0,457.0,534.0,109.0,311.0
688,"Wayne County, Illinois",16569.0,16311.0,155.0,91.0,140.0,7.0,17.0
689,"White County, Illinois",14186.0,13994.0,122.0,41.0,113.0,11.0,2.0
690,"Woodford County, Illinois",38942.0,38257.0,464.0,199.0,390.0,0.0,178.0
691,"Franklin County, Illinois",39302.0,38536.0,378.0,362.0,267.0,51.0,130.0
692,"Henderson County, Illinois",6927.0,6836.0,79.0,33.0,49.0,16.0,29.0
693,"McDonough County, Illinois",31597.0,29111.0,1872.0,197.0,825.0,92.0,135.0
694,"McHenry County, Illinois",308043.0,289984.0,6069.0,1644.0,10397.0,294.0,5742.0
695,"McLean County, Illinois",173231.0,147802.0,15720.0,1041.0,10468.0,145.0,2095.0
696,"Moultrie County, Illinois",14711.0,14538.0,156.0,46.0,55.0,0.0,30.0
697,"Perry County, Illinois",21467.0,19331.0,2068.0,102.0,141.0,2.0,125.0
698,"Pike County, Illinois",15930.0,15550.0,372.0,103.0,68.0,0.0,28.0
699,"Pope County, Illinois",4360.0,4039.0,252.0,7.0,81.0,11.0,37.0
700,"Rock Island County, Illinois",146205.0,124010.0,17478.0,1429.0,4357.0,233.0,4416.0
701,"St. Clair County, Illinois",264433.0,177338.0,83769.0,2344.0,5372.0,372.0,3673.0
702,"Shelby County, Illinois",21906.0,21620.0,170.0,94.0,93.0,0.0,10.0
703,"Wabash County, Illinois",11568.0,11294.0,136.0,59.0,186.0,25.0,35.0
704,"Champaign County, Illinois",207946.0,156334.0,29763.0,1220.0,23844.0,438.0,2363.0
705,"Calhoun County, Illinois",4897.0,4828.0,15.0,47.0,45.0,0.0,20.0
706,"Cumberland County, Illinois",10899.0,10792.0,57.0,84.0,86.0,35.0,0.0
707,"Ford County, Illinois",13470.0,13144.0,175.0,78.0,88.0,4.0,101.0
708,"Jo Daviess County, Illinois",22046.0,21723.0,215.0,100.0,149.0,50.0,70.0
709,"Kane County, Illinois",529402.0,393122.0,34348.0,5111.0,23941.0,567.0,85969.0
710,"Kendall County, Illinois",122933.0,104178.0,9513.0,716.0,4775.0,22.0,7074.0
711,"Lawrence County, Illinois",16457.0,14794.0,1673.0,200.0,102.0,0.0,132.0
712,"Brown County, Illinois",6791.0,5246.0,1484.0,49.0,41.0,0.0,35.0
713,"Marion County, Illinois",38305.0,36372.0,1996.0,226.0,298.0,18.0,261.0
714,"Marshall County, Illinois",11925.0,11733.0,53.0,63.0,74.0,102.0,72.0
715,"Mason County, Illinois",13904.0,13781.0,206.0,74.0,30.0,6.0,1.0
716,"Iroquois County, Illinois",28457.0,26846.0,447.0,143.0,156.0,34.0,1174.0
717,"Christian County, Illinois",33562.0,32636.0,681.0,131.0,260.0,28.0,50.0
718,"Clay County, Illinois",13393.0,13194.0,118.0,100.0,106.0,0.0,0.0
719,"Gallatin County, Illinois",5226.0,5165.0,58.0,75.0,48.0,0.0,6.0
720,"Jackson County, Illinois",59115.0,47303.0,9620.0,727.0,2646.0,11.0,886.0
721,"Monroe County, Illinois",33739.0,33312.0,194.0,150.0,283.0,0.0,113.0
722,"Peoria County, Illinois",186145.0,142116.0,37579.0,1722.0,8500.0,160.0,3781.0
723,"Union County, Illinois",17267.0,16776.0,364.0,160.0,108.0,72.0,337.0
724,"Winnebago County, Illinois",287512.0,234791.0,41270.0,2611.0,9209.0,316.0,8567.0
725,"Piatt County, Illinois",16433.0,16139.0,244.0,646.0,106.0,5.0,80.0
726,"Pulaski County, Illinois",5691.0,3897.0,1853.0,61.0,21.0,0.0,31.0
727,"Schuyler County, Illinois",7181.0,6782.0,426.0,24.0,4.0,0.0,0.0
728,"Stark County, Illinois",5551.0,5467.0,61.0,30.0,47.0,0.0,0.0
729,"Edgar County, Illinois",17603.0,17397.0,205.0,30.0,72.0,0.0,32.0
730,"Bond County, Illinois",17034.0,15644.0,1205.0,99.0,220.0,0.0,84.0
731,"Boone County, Illinois",53638.0,48056.0,1654.0,696.0,830.0,148.0,3567.0
732,"Bureau County, Illinois",33619.0,32020.0,475.0,184.0,326.0,11.0,1132.0
733,"Carroll County, Illinois",14704.0,14270.0,251.0,87.0,141.0,8.0,155.0
734,"Coles County, Illinois",52540.0,49461.0,2513.0,331.0,741.0,171.0,178.0
735,"Crawford County, Illinois",19214.0,18243.0,914.0,104.0,142.0,24.0,124.0
736,"Jersey County, Illinois",22215.0,21921.0,378.0,120.0,117.0,22.0,120.0
737,"Putnam County, Illinois",5771.0,5689.0,65.0,44.0,31.0,0.0,41.0
738,"De Witt County, Illinois",16176.0,15829.0,126.0,1214.0,31.0,27.0,196.0
739,"Fayette County, Illinois",21980.0,20582.0,1215.0,161.0,121.0,0.0,56.0
740,"Lee County, Illinois",34670.0,32024.0,2070.0,177.0,387.0,75.0,639.0
741,"Logan County, Illinois",29488.0,26823.0,2152.0,679.0,298.0,6.0,386.0
742,"Macoupin County, Illinois",45960.0,45241.0,618.0,446.0,239.0,3.0,132.0
743,"Richland County, Illinois",15953.0,15607.0,103.0,95.0,125.0,128.0,105.0
744,"Saline County, Illinois",24430.0,23259.0,1246.0,260.0,211.0,12.0,140.0
745,"Washington County, Illinois",14260.0,13973.0,163.0,85.0,90.0,9.0,115.0
746,"Montgomery County, Illinois",29173.0,27211.0,1949.0,147.0,115.0,11.0,139.0
747,"Whiteside County, Illinois",56823.0,54025.0,1435.0,308.0,570.0,76.0,1571.0
748,"Adams County, Illinois",66787.0,63155.0,3310.0,394.0,769.0,48.0,185.0
749,"Clinton County, Illinois",37640.0,35739.0,1576.0,188.0,302.0,0.0,300.0
750,"DeKalb County, Illinois",104473.0,90336.0,9080.0,539.0,3320.0,134.0,3814.0
751,"Edwards County, Illinois",6570.0,6482.0,76.0,4.0,62.0,13.0,36.0
752,"Jasper County, Illinois",9608.0,9547.0,39.0,82.0,1.0,1.0,16.0
753,"Jefferson County, Illinois",38358.0,34393.0,3890.0,289.0,548.0,25.0,159.0
754,"Vermilion County, Illinois",79207.0,66483.0,11756.0,527.0,872.0,104.0,676.0
755,"Will County, Illinois",687727.0,522535.0,85802.0,4138.0,42121.0,521.0,52471.0
756,"Williamson County, Illinois",67477.0,63510.0,3673.0,486.0,926.0,96.0,427.0
757,"Clark County, Illinois",15924.0,15686.0,136.0,77.0,97.0,0.0,171.0
758,"Douglas County, Illinois",19830.0,19334.0,218.0,123.0,173.0,33.0,256.0
759,"Effingham County, Illinois",34164.0,33596.0,431.0,134.0,117.0,24.0,255.0
760,"Fulton County, Illinois",35733.0,34046.0,1483.0,217.0,177.0,30.0,148.0
761,"Greene County, Illinois",13311.0,13082.0,213.0,150.0,26.0,0.0,3.0
762,"Hamilton County, Illinois",8259.0,8193.0,49.0,7.0,10.0,0.0,0.0
763,"Hardin County, Illinois",4161.0,3966.0,172.0,12.0,40.0,0.0,40.0
764,"Henry County, Illinois",49649.0,47271.0,1393.0,285.0,407.0,52.0,1177.0
765,"Johnson County, Illinois",12899.0,11380.0,1467.0,44.0,54.0,0.0,33.0
766,"Knox County, Illinois",51374.0,45065.0,5011.0,470.0,630.0,2.0,1064.0
767,"Lake County, Illinois",704476.0,568764.0,54725.0,5023.0,58486.0,1456.0,36683.0
768,"Livingston County, Illinois",36812.0,34778.0,1945.0,190.0,309.0,0.0,261.0
769,"Massac County, Illinois",14594.0,13640.0,1037.0,118.0,135.0,0.0,86.0
770,"Scott County, Illinois",5109.0,5056.0,20.0,49.0,9.0,7.0,11.0
771,"Tazewell County, Illinois",134695.0,130987.0,2498.0,824.0,1612.0,39.0,712.0
772,"Cass County, Illinois",12880.0,11836.0,638.0,28.0,88.0,46.0,402.0
773,"Warren County, Illinois",17429.0,15949.0,677.0,156.0,411.0,0.0,571.0
774,"Monroe County, Indiana",144436.0,129418.0,6563.0,1237.0,11010.0,172.0,1086.0
775,"Fountain County, Indiana",16620.0,16453.0,118.0,215.0,17.0,0.0,47.0
776,"Elkhart County, Indiana",202924.0,183468.0,14532.0,2128.0,2806.0,304.0,6290.0
777,"Starke County, Indiana",22966.0,22464.0,170.0,133.0,152.0,0.0,344.0
778,"Crawford County, Indiana",10598.0,10476.0,51.0,213.0,15.0,0.0,10.0
779,"Cass County, Indiana",38248.0,32529.0,782.0,282.0,743.0,362.0,4594.0
780,"Greene County, Indiana",32431.0,32141.0,237.0,227.0,179.0,42.0,41.0
781,"Marion County, Indiana",939964.0,614034.0,277882.0,8106.0,32021.0,1001.0,37545.0
782,"Wayne County, Indiana",66972.0,62013.0,4494.0,554.0,848.0,70.0,770.0
783,"Grant County, Indiana",67615.0,61366.0,6171.0,507.0,789.0,39.0,683.0
784,"LaSalle County, Illinois",111151.0,105426.0,3499.0,591.0,1253.0,77.0,1903.0
785,"Clay County, Indiana",26375.0,26075.0,294.0,184.0,116.0,13.0,102.0
786,"Hendricks County, Indiana",158170.0,141926.0,11224.0,976.0,4943.0,109.0,1968.0
787,"Dubois County, Indiana",42379.0,40325.0,479.0,112.0,269.0,0.0,1578.0
788,"Franklin County, Indiana",22835.0,22682.0,50.0,6.0,74.0,0.0,105.0
789,"Hancock County, Indiana",72776.0,70448.0,2046.0,432.0,905.0,67.0,298.0
790,"Jackson County, Indiana",43779.0,40708.0,602.0,312.0,889.0,45.0,1687.0
791,"Howard County, Indiana",82457.0,74241.0,7397.0,765.0,1183.0,46.0,756.0
792,"Ohio County, Indiana",5911.0,5772.0,77.0,24.0,26.0,0.0,37.0
793,"Owen County, Indiana",20957.0,20643.0,250.0,205.0,147.0,0.0,0.0
794,"Parke County, Indiana",17062.0,16693.0,414.0,100.0,31.0,98.0,74.0
795,"Randolph County, Indiana",25203.0,24704.0,363.0,194.0,66.0,0.0,318.0
796,"Whitley County, Indiana",33481.0,32951.0,275.0,437.0,252.0,21.0,316.0
797,"Benton County, Indiana",8685.0,8564.0,112.0,40.0,29.0,0.0,31.0
798,"Brown County, Indiana",15007.0,14740.0,137.0,154.0,119.0,0.0,83.0
799,"Clinton County, Indiana",32455.0,31130.0,428.0,150.0,129.0,39.0,940.0
800,"Putnam County, Indiana",37543.0,35707.0,1430.0,225.0,483.0,21.0,224.0
801,"Union County, Indiana",7225.0,7182.0,8.0,72.0,219.0,0.0,1.0
802,"Washington County, Indiana",27807.0,27613.0,202.0,159.0,118.0,10.0,22.0
803,"Daviess County, Indiana",32777.0,31530.0,662.0,144.0,191.0,11.0,554.0
804,"Dearborn County, Indiana",49564.0,48540.0,581.0,251.0,303.0,29.0,295.0
805,"Henry County, Indiana",48649.0,46918.0,1614.0,310.0,331.0,18.0,292.0
806,"Knox County, Indiana",37763.0,35982.0,1378.0,255.0,379.0,39.0,195.0
807,"Lawrence County, Indiana",45669.0,44815.0,420.0,424.0,385.0,53.0,398.0
808,"Madison County, Indiana",129641.0,117374.0,12363.0,955.0,1038.0,85.0,1478.0
809,"Perry County, Indiana",19229.0,18490.0,687.0,150.0,111.0,65.0,81.0
810,"Pike County, Indiana",12471.0,12206.0,167.0,28.0,132.0,0.0,24.0
811,"Pulaski County, Indiana",12761.0,12445.0,142.0,101.0,88.0,0.0,194.0
812,"Posey County, Indiana",25599.0,25002.0,576.0,28.0,158.0,5.0,93.0
813,"Steuben County, Indiana",34459.0,34100.0,114.0,460.0,281.0,15.0,77.0
814,"Warren County, Indiana",8269.0,8198.0,73.0,43.0,24.0,19.0,13.0
815,"Vermillion County, Indiana",15644.0,15439.0,97.0,94.0,100.0,29.0,34.0
816,"Wells County, Indiana",27832.0,27135.0,282.0,165.0,199.0,0.0,312.0
817,"Floyd County, Indiana",76481.0,70507.0,5147.0,628.0,1053.0,36.0,751.0
818,"Allen County, Indiana",367747.0,304280.0,50623.0,3734.0,15029.0,484.0,7824.0
819,"Decatur County, Indiana",26480.0,25685.0,211.0,216.0,419.0,0.0,215.0
820,"Delaware County, Indiana",115938.0,104930.0,9719.0,831.0,1932.0,302.0,892.0
821,"Miami County, Indiana",36035.0,33291.0,2031.0,529.0,282.0,37.0,430.0
822,"Jefferson County, Indiana",32293.0,31161.0,851.0,219.0,322.0,9.0,122.0
823,"Jennings County, Indiana",27840.0,27120.0,436.0,81.0,123.0,0.0,160.0
824,"Johnson County, Indiana",149359.0,138957.0,3832.0,870.0,4725.0,22.0,2633.0
825,"Morgan County, Indiana",69533.0,68571.0,622.0,455.0,501.0,0.0,262.0
826,"Gibson County, Indiana",33596.0,32514.0,1014.0,246.0,201.0,35.0,262.0
827,"Newton County, Indiana",14056.0,13683.0,68.0,152.0,117.0,0.0,287.0
828,"Orange County, Indiana",19623.0,19183.0,335.0,151.0,110.0,3.0,62.0
829,"St. Joseph County, Indiana",268613.0,220255.0,39593.0,2569.0,7611.0,707.0,6842.0
830,"Kosciusko County, Indiana",78720.0,75368.0,1218.0,526.0,1105.0,70.0,1888.0
831,"Marshall County, Indiana",46752.0,44030.0,622.0,344.0,516.0,8.0,2085.0
832,"Switzerland County, Indiana",10617.0,10432.0,173.0,66.0,73.0,0.0,48.0
833,"Vanderburgh County, Indiana",181831.0,160397.0,19913.0,1068.0,3035.0,339.0,2025.0
834,"Blackford County, Indiana",12214.0,12103.0,109.0,147.0,55.0,0.0,2.0
835,"Carroll County, Indiana",19994.0,19483.0,178.0,115.0,104.0,27.0,359.0
836,"Scott County, Indiana",23722.0,23440.0,247.0,102.0,160.0,0.0,90.0
837,"Harrison County, Indiana",39450.0,38682.0,240.0,451.0,251.0,0.0,340.0
838,"Huntington County, Indiana",36520.0,35555.0,416.0,276.0,307.0,10.0,274.0
839,"LaPorte County, Indiana",110839.0,95080.0,14148.0,802.0,961.0,61.0,3079.0
840,"Wabash County, Indiana",31848.0,30937.0,349.0,372.0,198.0,0.0,463.0
841,"White County, Indiana",24279.0,22728.0,209.0,259.0,151.0,5.0,1397.0
842,"Jasper County, Indiana",33448.0,32290.0,491.0,176.0,182.0,5.0,837.0
843,"Jay County, Indiana",21107.0,20804.0,142.0,116.0,172.0,1.0,101.0
844,"Martin County, Indiana",10219.0,10034.0,63.0,135.0,20.0,25.0,10.0
845,"Porter County, Indiana",167391.0,156546.0,7539.0,990.0,3124.0,487.0,2311.0
846,"Shelby County, Indiana",44339.0,42441.0,706.0,263.0,428.0,72.0,1074.0
847,"Ripley County, Indiana",28372.0,27723.0,236.0,199.0,276.0,4.0,99.0
848,"Spencer County, Indiana",20610.0,20155.0,235.0,98.0,79.0,16.0,244.0
849,"Sullivan County, Indiana",20900.0,19808.0,952.0,183.0,215.0,0.0,85.0
850,"Tipton County, Indiana",15290.0,15007.0,135.0,59.0,67.0,56.0,272.0
851,"Tippecanoe County, Indiana",186081.0,158552.0,10998.0,1185.0,16009.0,172.0,3506.0
852,"Vigo County, Indiana",107723.0,97821.0,9226.0,1341.0,2526.0,207.0,1154.0
853,"Warrick County, Indiana",61581.0,58732.0,1274.0,345.0,1687.0,42.0,345.0
854,"Hamilton County, Indiana",309687.0,276747.0,14615.0,1410.0,20720.0,284.0,3304.0
855,"DeKalb County, Indiana",42524.0,42092.0,190.0,558.0,286.0,2.0,177.0
856,"LaGrange County, Indiana",38720.0,38531.0,92.0,386.0,243.0,40.0,98.0
857,"Bartholomew County, Indiana",81024.0,70604.0,2391.0,532.0,5366.0,95.0,3597.0
858,"Rush County, Indiana",16765.0,16425.0,288.0,57.0,35.0,0.0,104.0
859,"Boone County, Indiana",63013.0,60060.0,1333.0,404.0,1887.0,0.0,421.0
860,"Fulton County, Indiana",20296.0,19366.0,298.0,166.0,125.0,12.0,534.0
861,"Lake County, Indiana",488694.0,314770.0,125196.0,3940.0,9160.0,455.0,49747.0
862,"Montgomery County, Indiana",38288.0,37510.0,642.0,229.0,360.0,31.0,287.0
863,"Noble County, Indiana",47421.0,46718.0,235.0,513.0,354.0,8.0,282.0
864,"Adams County, Indiana",35018.0,34084.0,374.0,86.0,149.0,0.0,500.0
865,"Clark County, Indiana",114893.0,105180.0,10148.0,866.0,1531.0,201.0,970.0
866,"Fayette County, Indiana",23426.0,22655.0,663.0,23.0,35.0,0.0,167.0
867,"Delaware County, Iowa",17326.0,17186.0,63.0,146.0,83.0,0.0,31.0
868,"Jefferson County, Iowa",17945.0,15604.0,1113.0,316.0,1219.0,99.0,358.0
869,"Wayne County, Iowa",6405.0,6340.0,118.0,34.0,40.0,0.0,0.0
870,"Allamakee County, Iowa",13940.0,13705.0,141.0,170.0,44.0,30.0,62.0
871,"Linn County, Iowa",220008.0,200730.0,14537.0,1592.0,6694.0,297.0,2532.0
872,"Scott County, Iowa",171493.0,151328.0,15957.0,1367.0,5208.0,58.0,1857.0
873,"Dallas County, Iowa",80864.0,75390.0,2026.0,457.0,3842.0,99.0,854.0
874,"O'Brien County, Iowa",13944.0,13284.0,166.0,68.0,129.0,14.0,378.0
875,"Benton County, Iowa",25646.0,25290.0,270.0,126.0,138.0,0.0,65.0
876,"Butler County, Iowa",14822.0,14658.0,114.0,115.0,106.0,18.0,8.0
877,"Dubuque County, Iowa",96571.0,91555.0,3680.0,713.0,1552.0,393.0,457.0
878,"Fremont County, Iowa",6985.0,6799.0,73.0,52.0,13.0,24.0,107.0
879,"Hamilton County, Iowa",15201.0,14295.0,195.0,18.0,469.0,0.0,263.0
880,"Pocahontas County, Iowa",6972.0,6770.0,135.0,16.0,45.0,35.0,34.0
881,"Taylor County, Iowa",6214.0,5980.0,37.0,45.0,51.0,0.0,148.0
882,"Union County, Iowa",12497.0,12190.0,182.0,59.0,99.0,15.0,23.0
883,"Van Buren County, Iowa",7308.0,7239.0,47.0,33.0,68.0,6.0,5.0
884,"Worth County, Iowa",7502.0,7387.0,125.0,22.0,65.0,3.0,20.0
885,"Ringgold County, Iowa",4986.0,4861.0,6.0,20.0,61.0,0.0,59.0
886,"Adams County, Iowa",3785.0,3724.0,20.0,24.0,34.0,0.0,21.0
887,"Adair County, Iowa",7192.0,7115.0,54.0,29.0,58.0,0.0,17.0
888,"Audubon County, Iowa",5711.0,5650.0,78.0,23.0,51.0,0.0,0.0
889,"Chickasaw County, Iowa",12140.0,11972.0,75.0,32.0,86.0,0.0,39.0
890,"Clarke County, Iowa",9267.0,8920.0,68.0,143.0,94.0,0.0,228.0
891,"Davis County, Iowa",8834.0,8790.0,51.0,45.0,50.0,0.0,30.0
892,"Dickinson County, Iowa",17000.0,16699.0,130.0,68.0,149.0,0.0,118.0
893,"Ida County, Iowa",6965.0,6849.0,38.0,77.0,32.0,0.0,24.0
894,"Johnson County, Iowa",144425.0,123062.0,10615.0,1187.0,10279.0,205.0,2720.0
895,"Keokuk County, Iowa",10223.0,10133.0,64.0,58.0,68.0,22.0,18.0
896,"Monroe County, Iowa",7912.0,7718.0,100.0,10.0,70.0,0.0,118.0
897,"Tama County, Iowa",17236.0,15476.0,153.0,1477.0,116.0,10.0,305.0
898,"Wapello County, Iowa",35321.0,31707.0,1327.0,226.0,373.0,118.0,2173.0
899,"Sioux County, Iowa",34692.0,32814.0,298.0,178.0,394.0,69.0,1445.0
900,"Franklin County, Iowa",10326.0,9604.0,162.0,58.0,21.0,12.0,537.0
901,"Calhoun County, Iowa",9814.0,9540.0,249.0,57.0,53.0,5.0,51.0
902,"Carroll County, Iowa",20428.0,19965.0,411.0,50.0,52.0,2.0,92.0
903,"Cedar County, Iowa",18368.0,18028.0,219.0,183.0,111.0,5.0,99.0
904,"Cerro Gordo County, Iowa",43134.0,41388.0,1041.0,362.0,605.0,36.0,434.0
905,"Floyd County, Iowa",15904.0,15224.0,421.0,63.0,289.0,11.0,84.0
906,"Greene County, Iowa",9046.0,8902.0,56.0,13.0,131.0,3.0,3.0
907,"Hardin County, Iowa",17239.0,16669.0,377.0,119.0,131.0,5.0,159.0
908,"Louisa County, Iowa",11238.0,10339.0,149.0,38.0,448.0,8.0,314.0
909,"Lucas County, Iowa",8600.0,8588.0,16.0,49.0,0.0,0.0,0.0
910,"Lyon County, Iowa",11745.0,11512.0,43.0,118.0,49.0,30.0,128.0
911,"Winnebago County, Iowa",10545.0,10194.0,218.0,110.0,132.0,0.0,83.0
912,"Palo Alto County, Iowa",9110.0,8851.0,194.0,26.0,97.0,0.0,22.0
913,"Shelby County, Iowa",11772.0,11439.0,134.0,81.0,48.0,0.0,221.0
914,"Appanoose County, Iowa",12547.0,12381.0,138.0,87.0,86.0,0.0,14.0
915,"Henry County, Iowa",19865.0,18616.0,652.0,163.0,667.0,125.0,231.0
916,"Iowa County, Iowa",16231.0,15995.0,183.0,58.0,72.0,8.0,63.0
917,"Jasper County, Iowa",36789.0,35845.0,809.0,296.0,317.0,142.0,149.0
918,"Page County, Iowa",15393.0,14654.0,345.0,295.0,180.0,11.0,118.0
919,"Winneshiek County, Iowa",20575.0,20069.0,265.0,40.0,232.0,0.0,94.0
920,"Poweshiek County, Iowa",18428.0,17616.0,462.0,39.0,446.0,11.0,89.0
921,"Pottawattamie County, Iowa",93287.0,88906.0,2343.0,1192.0,1017.0,29.0,2036.0
922,"Marshall County, Iowa",40476.0,35062.0,1030.0,324.0,1500.0,50.0,3562.0
923,"Clayton County, Iowa",17711.0,17412.0,208.0,77.0,79.0,0.0,29.0
924,"Boone County, Iowa",26381.0,25856.0,169.0,281.0,207.0,172.0,67.0
925,"Bremer County, Iowa",24741.0,24056.0,394.0,88.0,306.0,8.0,197.0
926,"Buena Vista County, Iowa",20369.0,16055.0,651.0,47.0,1875.0,256.0,1668.0
927,"Howard County, Iowa",9321.0,9222.0,111.0,7.0,40.0,0.0,11.0
928,"Emmet County, Iowa",9661.0,9364.0,189.0,73.0,28.0,7.0,89.0
